127.0.0.1 - - [06/May/2018:22:04:51 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [06/May/2018:22:04:52 -0700] "GET /reg_login/regist.jsp HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [06/May/2018:22:04:53 -0700] "GET /reg_login/css/reg.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2018:22:05:02 -0700] "GET /reg_login/regist.jsp HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [06/May/2018:22:05:06 -0700] "GET /reg_login/regist.jsp HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [06/May/2018:22:06:10 -0700] "GET /reg_login/regist.jsp HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [06/May/2018:22:07:08 -0700] "POST /reg_login/RegistServlet HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [06/May/2018:22:07:14 -0700] "GET /reg_login/login.jsp HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [06/May/2018:22:07:16 -0700] "GET /reg_login/regist.jsp HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [06/May/2018:22:07:16 -0700] "GET /reg_login/css/reg.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2018:22:07:18 -0700] "GET /reg_login/login.jsp HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [06/May/2018:22:07:20 -0700] "POST /reg_login/login.jsp HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [06/May/2018:22:07:22 -0700] "POST /reg_login/login.jsp HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [06/May/2018:22:07:38 -0700] "GET /reg_login/success.jsp HTTP/1.1" 200 507
0:0:0:0:0:0:0:1 - - [06/May/2018:22:07:39 -0700] "GET /reg_login/img/pic01.jpg HTTP/1.1" 200 55859
